,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
439,oDwcfmbdk,pickaninnies,,,True,,100.0,eng,,pickaninnys,,False,True,False,False,False,False,False,611,42,3,2019-01-09 18:55:57,2019-01-09 18:56:05
440,EntJtHM6F,pickinninies,,,True,,,eng,pickinniny,,,False,True,False,False,False,False,False,22,0,0,2019-01-09 18:54:27,2019-01-09 18:54:35
441,isCycKTmX,pickinniny,,,True,,,eng,,picaninny,,False,True,False,False,False,False,False,8,1,0,2019-01-09 18:53:48,2019-01-09 18:53:55
442,KGhbbRVqZ,piccaninny,,,True,,,eng,,picaninny,,False,True,False,False,False,False,False,278,19,3,2019-01-09 18:52:47,2019-01-09 18:52:55
443,BUZsxDtj7,picaninnies,,,True,,,eng,pickaninny,,,False,True,False,False,False,False,False,415,18,0,2019-01-09 18:51:43,2019-01-09 18:52:09
444,yVvMWnYnL,picaninny,A black child,,True,,,eng,,,,False,True,False,False,False,False,False,446,42,3,2019-01-09 18:50:43,2019-01-09 18:50:56
445,VbCXVGynj,Zio,"Turns the term ""Zionist"" (a supporter of Jewish national liberation) into a slur against Jews.",,False,,82.0,eng,,,,True,True,True,False,False,False,False,29,1,0,2018-11-15 06:51:18,2019-01-09 18:26:47
446,3cKvv7QHa,tynker,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,86.0,eng,,tinker,,False,True,False,False,False,False,False,19,1,0,2013-06-22 01:20:13,2019-01-09 18:25:24
447,7tkEx2wqZ,tree jumper,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",,False,,52.0,eng,,stump jumper,,False,False,False,False,False,False,True,57,5,1,2013-06-22 06:40:05,2019-01-09 18:24:10
448,6n3vjFpaJ,tinkar,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,56.0,eng,,tinker,,False,True,False,False,False,False,False,3,0,0,2013-05-05 16:07:23,2019-01-09 18:22:24
449,MHyq4TTfX,tinkere,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,86.0,eng,,tinker,,False,True,False,False,False,False,False,1,0,0,2013-05-06 20:08:25,2019-01-09 18:15:33
450,bJ8V7AH7D,tincker,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,93.0,eng,,tinker,,False,True,False,False,False,False,False,2,0,0,2013-05-06 20:08:25,2019-01-09 18:15:25
451,MaNMj7g7t,spink,A person of mixed Hispanic and Chinese parentage.,,False,,91.0,eng,,,,True,True,False,False,False,False,False,18,4,0,2013-05-11 12:42:43,2019-01-09 18:12:40
452,dngue7BU2,spik,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,99.0,eng,,spic,,False,True,False,False,False,False,False,58,5,1,2013-05-11 20:01:01,2019-01-09 18:12:32
453,peX9dRbn8,spig,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,92.0,eng,,spic,,False,True,False,False,False,False,False,48,7,0,2013-05-14 20:02:27,2019-01-09 18:12:24
454,9m2JwKkYX,spick,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,87.0,eng,,spic,,False,True,False,False,False,False,False,292,22,3,2013-04-26 14:39:22,2019-01-09 18:12:15
455,AHGEKVzQ4,spaz,"From ""spastic"", refers to a person who has seizures or other uncontrollable movements",,False,,52.0,eng,,,,False,False,False,False,False,True,False,480,31,4,2018-11-01 19:42:42,2019-01-09 18:11:47
456,9f6AxHr39,smoke jumper,A Caucasian woman who dates a black man.,,True,,81.0,eng,,,,False,True,False,False,False,False,False,676,26,9,2013-06-23 06:40:21,2019-01-09 18:10:06
457,fj2ayYAbm,slopey,"A person of Asian descent, particularly Vietnamese or Chinese.",,False,,91.0,eng,,slope,,False,True,False,False,False,False,False,354,32,6,2013-05-10 18:31:36,2019-01-09 18:09:29
458,XraBAVHQW,slags,"In the UK, a promiscuous woman","Waste matter, particularly as a result of incineration",False,,68.0,eng,slag,,,False,False,False,False,False,False,True,345,15,3,2018-11-01 20:36:52,2019-01-09 18:08:37
459,7NYjmJgDB,shit kicker,"A rural person, from farmers or country boys walking through manure-filled cow pastures.",A shoe,False,,81.0,eng,,,,False,False,False,False,False,False,True,0,0,0,2013-06-23 04:30:15,2019-01-09 18:07:53
460,8YMJKezJT,shit heel,A black servant.,"Generic insult comparable to ""shit head""",False,,72.0,eng,,,,False,True,False,False,False,False,False,850,31,2,2013-07-21 23:48:55,2019-01-09 18:07:19
461,Kdt7UaE4G,shant,"A disenfranchised Irish peson, from 'shanty'.","Contraction of ""shall not""",False,,72.0,eng,,,,True,False,False,False,False,False,True,0,0,0,2013-06-23 11:20:23,2019-01-09 18:06:22
462,3jZXfV9tZ,seppo,An American. (Cockney rhyming slang: Septic tank - Yank),,False,,74.0,eng,,,,True,False,False,False,False,False,False,0,0,0,2013-05-16 03:20:37,2019-01-09 18:05:36
463,M9nxUYfv3,sawney,"A Scottish person, local variant of Sandy, short for 'Alasdair'.",,False,,43.0,eng,,,,True,False,False,False,False,False,False,32,6,0,2013-06-23 22:30:14,2019-01-09 18:03:54
464,gwBPRhfRU,rubes,A rural person.,,False,,25.0,eng,rube,,,False,False,False,False,False,False,True,408,55,5,2018-11-01 20:36:39,2019-01-09 18:02:50
465,nEGa9WMe6,poppadom,Used as a derogatory term directed towards South Asians (and sometimes Middle Eastern people).,,False,,95.0,eng,,,,False,True,False,False,False,False,False,316,21,1,2013-04-20 20:49:52,2019-01-09 17:53:58
466,g7pkPyG7Z,nitchy,A North American Indian (from the Algonquian word for 'friend').,,False,,76.0,eng,,nitchie,,False,True,False,False,False,False,False,10,5,0,2013-04-20 15:13:45,2019-01-09 17:49:11
467,ZyGtK3Fwj,nichiwa,A North American Indian (from the Algonquian word for 'friend').,,False,,90.0,eng,,nitchie,,False,True,False,False,False,False,False,27,2,1,2013-05-31 15:36:18,2019-01-09 17:48:57
468,ffVyceY8z,negro,[English][Italian] A black person.,,False,,94.0,eng,,,,False,True,False,False,False,False,False,65,4,1,2016-12-06 14:46:54,2019-01-09 17:47:42
469,4muB3pZX7,neejee,A North American Indian (from the Algonquian word for 'friend').,,False,,96.0,eng,,nitchie,,False,True,False,False,False,False,False,11,0,0,2013-04-16 20:58:47,2019-01-09 17:46:26
470,jE2WUfvr4,nitchie,A North American Indian (from the Algonquian word for 'friend').,,False,,76.0,eng,,,,False,True,False,False,False,False,False,7,3,1,2013-04-14 01:15:00,2019-01-09 17:46:12
471,VxyQ8jvWU,neechee,A North American Indian (from the Algonquian word for 'friend').,,False,,89.0,eng,,nitchie,,False,True,False,False,False,False,False,92,1,1,2013-04-23 15:44:13,2019-01-09 17:45:54
472,vwQDPvn2a,mong,"A disabled person, from 'mongoloid'.",,False,,93.0,eng,,,,False,False,False,False,False,True,False,49,4,1,2013-05-23 04:09:19,2019-01-09 17:43:21
473,dTafdprb3,sheeny,A 19th-century derogatory term for an 'untrustworthy Jew.',,False,,84.0,eng,,,,False,True,False,False,False,False,False,82,2,1,2013-06-23 09:40:13,2019-01-09 16:35:15
474,xpXPgvbQc,niggerdick,"The penis of a man of African descent, or a person with a large penis; likely popularized online for shock value",,True,,,eng,,,,False,True,False,False,False,False,False,43,2,0,2019-01-07 18:16:05,2019-01-09 16:28:21
475,DUmsUwboc,niggerdicks,,,True,,,eng,niggerdick,,,False,True,False,False,False,False,False,3,0,0,2019-01-07 18:16:44,2019-01-09 16:28:07
476,yrQisUkDo,niggerton,A town or part of town containing majority black population,,True,,,eng,,,,False,True,False,False,False,False,False,30,2,0,2019-01-07 18:32:36,2019-01-09 16:27:58
477,ftrnzUEbH,niggertown,A town or part of town containing majority black population,,True,,100.0,eng,,,,False,True,False,False,False,False,False,32,1,0,2019-01-07 18:31:52,2019-01-09 16:27:51
478,8nveQCoVU,niggerville,A town or part of town containing majority black population,,True,,97.0,eng,,,,False,True,False,False,False,False,False,129,6,0,2019-01-07 18:34:12,2019-01-09 16:27:44
479,BkYxA4AFB,retarded,"A disabled person, from 'retarded'.",,True,,64.0,eng,,retard,,False,False,False,False,False,True,False,2215,191,28,2013-10-15 12:43:10,2019-01-09 16:27:30
480,CaoXkrFNd,shekelnose,"Combines two anti-Semitic stereotypes: that of Jewish greed (hence the reference to ""shekel"", the currency of historical and modern Israel) and that of having a large nose.",,True,,100.0,eng,,,,False,True,True,False,False,False,False,0,0,0,2018-11-15 06:46:27,2019-01-09 16:25:50
481,qWw8tpXbK,lefty,"An Arab, from the practice in certain Middle Eastern countries of chopping off a criminal's hand.",[1] A left-handed person. [2] A person who endorses a perceived left-wing ideology.,False,,72.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2013-04-28 10:04:36,2019-01-09 16:18:25
482,jjUUrQcqy,kikesberg,,,True,,99.0,eng,,kike,,False,True,True,False,False,False,False,2,0,0,2018-11-15 06:43:32,2019-01-09 16:13:52
483,PMsHf9jPk,jigroes,,,False,,93.0,eng,jigro,,,False,True,False,False,False,False,False,0,0,0,2019-01-07 18:25:36,2019-01-09 16:09:05
484,bj7yGobXq,jigro,Combination of 'jig' and 'negro',,False,,93.0,eng,,,,False,True,False,False,False,False,False,46,27,1,2019-01-07 18:24:11,2019-01-09 16:08:50
485,sLjT9hfdy,hoodrats,,,False,,82.0,eng,hoodrat,,,False,True,False,True,False,False,True,945,79,16,2019-01-07 18:21:10,2019-01-09 15:16:16
486,9FyKVJLNX,hoodrat,"A person who lives in a 'hood (neighborhood), particularly a poor woman who can be coerced into sex",,False,,82.0,eng,,,,False,True,False,True,False,False,True,1595,126,12,2019-01-07 18:19:28,2019-01-09 15:16:10
487,yXQWue2zY,golliwog,"A person with dark skin, most commonly an Afro-Caribbean",Originally a children's literary character and type of black doll,False,,99.0,eng,,,,False,True,False,False,False,False,False,264,11,2,2013-05-10 17:54:40,2019-01-09 15:09:41
488,oBAmPQUNi,pisslam,Derogatory portmanteau of 'piss' and 'islam',,True,,100.0,eng,,,,False,False,True,False,False,False,False,973,116,15,2018-11-01 19:42:30,2019-01-09 14:49:31
489,H2WQT7GYr,Ahab,An Arab,Reference to character of Ahab in Moby Dick,False,,72.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2013-05-27 03:52:22,2019-01-09 14:46:59
490,REKkufoBs,dinks,[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.,,False,,,eng,dink,,,True,True,False,False,False,False,False,209,16,1,2018-11-01 20:34:09,2019-01-08 16:15:31
491,CmrMt2nzy,dink,[1] An Asian. [2] A Vietnamese person. [3] A North Vietnamese soldier or guerrilla in the Vietnam War.,,False,,98.0,eng,,,,True,True,False,False,False,False,False,175,17,2,2013-05-18 06:43:01,2019-01-08 16:15:22
492,cbaWbwk8A,bans and cans,"Mexicans, Puerto Ricans and Cubans.",,False,,51.0,eng,,,,True,True,False,False,False,False,False,1,0,0,-0001-11-30 05:17:32,2019-01-08 15:25:42
493,iXGAxgnhd,muslimic,Dismissive or incorrect term for Islamic practices,"Can be used in non-hateful context out of ignorance, language barriers",False,,,eng,,,,False,True,True,False,False,False,False,0,0,0,2019-01-07 18:28:28,2019-01-07 18:50:33
494,XpNDiLAz2,gender nigger,A transgender person,,True,,99.0,eng,,,,False,False,False,True,False,False,False,2,0,0,2018-11-27 12:14:31,2019-01-07 18:44:33
495,7aYkKn8kr,dot head,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",,False,,76.0,eng,,,,True,True,False,False,False,False,False,17,0,0,2013-06-23 19:40:11,2019-01-07 18:07:34
496,CAp6QtVpd,dogan,"In Canada, an Irish Catholic [19th century on; origin uncertain: perhaps from Dugan, an Irish surname].",,False,CA,95.0,eng,,,,True,False,True,False,False,False,False,2,0,0,2013-05-18 04:28:23,2019-01-07 18:07:08
497,AHMN4aF7R,cripples,A disabled person.,,False,,75.0,eng,cripple,,,False,False,False,False,False,True,False,678,56,2,2018-11-01 20:34:05,2019-01-07 18:05:32
498,D8oLjb2Ey,chinks,"A person of Chinese descent. Considered extremely derogatory, exemplified by a US school that had to stop using the term as a sports mascot in 1980.","A crack or gouge, particularly in a wall",False,,100.0,eng,chink,,,True,False,False,False,False,False,False,409,39,5,2018-11-01 20:33:58,2019-01-07 18:04:24
499,uUgxzw3te,boojie,An American Indian,"A middle-class American, derived from bourgeois",False,,65.0,eng,,,,False,True,False,False,False,False,True,0,0,0,2014-02-11 15:47:03,2019-01-07 17:56:03
500,Q2cAUGjUq,black dago,[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry,,True,,76.0,eng,,,,True,True,False,False,False,False,False,5,0,0,2013-12-10 20:56:33,2019-01-07 17:48:50
501,EJiAQAPo2,bitches,A human female,A female dog,False,,25.0,eng,bitch,,,False,False,False,True,False,False,False,1215,120,19,2018-11-01 20:33:40,2019-01-07 17:48:21
502,GmTur37KQ,bitch,A human female,A female dog,False,,26.0,eng,,,,False,False,False,True,False,False,False,1171,118,13,2013-05-16 14:35:55,2019-01-07 17:48:12
503,742NbzFMT,jit,"A black person, particularly a young black person.",,False,,50.0,eng,,,,False,True,False,False,False,False,False,1,0,0,2018-05-24 14:00:35,2019-01-04 17:52:08
504,UVWMgLXLw,toad,A black person,An amphibian,False,,73.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-24 22:36:02,2018-11-24 22:36:02
505,vF4c6PAVb,khazar,Perpetuates false claim that Ashkenazi Jews are the result of a mass conversion in Khazaria to undermine Jewish national claims to Israel,Reference to historical Khazars. There is no benign meaning in application to a Jewish person today.,False,,87.0,eng,,,,True,True,True,False,False,False,False,247,5,0,2013-04-29 23:41:25,2018-11-15 15:10:36
506,6FZyrdUXX,Zionazi,"Contraction of Zionist and Nazi, making a false comparison between Jews who support Israel's right to exist and Nazis.",,True,,86.0,eng,,,,True,True,True,False,False,False,False,2397,34,2,2013-04-09 07:48:35,2018-11-15 15:06:44
507,QG9v7Cvqh,kike,"An Ashkenazi Jew (though typically generalized to all Jews). From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').",,False,,98.0,eng,,,,False,True,True,False,False,False,False,64,3,0,2013-07-20 20:37:31,2018-11-15 06:37:39
508,HpgGojWdy,sand niglet,A child of Middle Eastern descent,,True,,99.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:39:44,2018-11-01 20:39:44
509,DLFeCwJMW,sand niglets,A child of Middle Eastern descent,,True,,,eng,sand niglet,,,False,True,False,False,False,False,False,4,0,0,2018-11-01 20:39:44,2018-11-01 20:39:44
510,sEMTfxuxh,Zionazis,A Jew living in Israel,,True,,,eng,Zionazi,,,True,False,True,False,False,False,False,568,40,8,2018-11-01 20:38:57,2018-11-01 20:38:57
511,zuCuemGaE,zipperheads,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,False,,,eng,zipperhead,,,False,True,False,False,False,False,False,182,10,0,2018-11-01 20:38:57,2018-11-01 20:38:57
512,wcqnkmq4p,zippoheads,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,False,,,eng,zippohead,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57
513,eoqmfHkNC,zips,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",[1] Go quickly [2] A fastener on an article of clothing,False,,,eng,zip,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57
514,gitNpNAas,ZOG lovers,Used by white supremacists to denote one who is subservient to Jewish people.,,True,,,eng,ZOG lover,,,False,True,False,False,False,False,False,2,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57
515,wrUHJXwvn,zebras,A person of mixed Caucasian and black parentage.,A mammal,False,,50.0,eng,zebra,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:56,2018-11-01 20:38:56
516,QYqdHchmG,zigabos,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,True,,50.0,eng,zigabo,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:56,2018-11-01 20:38:56
517,UsbtrtiyQ,ziojews,Derogatory term for a Jewish zionist or those being accused of such,,True,,,eng,ziojew,,,False,True,True,False,False,False,False,41,0,0,2018-11-01 20:38:56,2018-11-01 20:38:56
518,QoVZRw zv,yellow invaders,Accusative term for refugees or immigrants from Asia,,True,,,eng,yellow invader,,,False,True,False,False,False,False,False,3,0,0,2018-11-01 20:38:54,2018-11-01 20:38:54
519,WPRqUZoAA,yellows,A person of Asian descent.,A color,False,,88.0,eng,yellow,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:54,2018-11-01 20:38:54
520,EZQUVuQzZ,yids,"A Jewish person, although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves, for example calling themselves 'the Yid Army'), which includes a large Jewish supporting base from north-east London.)",,True,,,eng,yid,,,False,True,False,False,False,False,False,1501,135,14,2018-11-01 20:38:54,2018-11-01 20:38:54
521,x4viobdHm,yobbos,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,False,,,eng,yobbo,,,False,False,False,False,False,False,True,695,85,5,2018-11-01 20:38:54,2018-11-01 20:38:54
522,xDBXGFEwM,yobs,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,False,,,eng,yob,,,False,False,False,False,False,False,True,389,14,2,2018-11-01 20:38:54,2018-11-01 20:38:54
523,smzY4YaAD,Yanks,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,Pull,False,,,eng,Yank,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:53,2018-11-01 20:38:53
524,jUUBYKUKJ,yard apes,A black person,,True,,,eng,yard ape,,,False,True,False,False,False,False,False,187,39,0,2018-11-01 20:38:53,2018-11-01 20:38:53
525,vojYrfuhn,yardies,"[1] A person from Jamaica, sometimes derogatory, referring to gang membership or low economic status. [2] In the UK, can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.",,False,,,eng,yardie,,,True,True,False,False,False,False,True,0,0,0,2018-11-01 20:38:53,2018-11-01 20:38:53
526,fTGQYFHUq,yellow bones,[1] A black female with light skin. [2] A black female of mixed heritage.,,False,,,eng,yellow bone,,,False,True,False,False,False,False,False,840,113,23,2018-11-01 20:38:53,2018-11-01 20:38:53
527,gmronnNyG,wogs,"A swarthy or dark-skinned foreigner. Possibly derived from 'golliwogg' In Britain, it usually refers to dark skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country. In Australia the term 'wog' is usually used to refer to Mediterranean Europeans (Spaniards, Italians, and Greeks) although it can be used for some Eastern Europeans, particularly those of the Balkans (Bosnians, Macedonians, Serbians, Croatians, or Albanians).",,True,,,eng,wog,,,True,True,False,False,False,False,False,1869,151,10,2018-11-01 20:38:52,2018-11-01 20:38:52
528,HPytDzfra,wops,"A person of Italian descent, derived from the Italian dialectism, 'guappo,' close to 'dude, swaggerer' and other informal appellations, a greeting among male Neapolitans.",,True,,63.0,eng,wop,,,True,False,False,False,False,False,False,1538,128,8,2018-11-01 20:38:52,2018-11-01 20:38:52
529,tafapiusm,wopspeak,The Italian language,,True,,96.0,eng,,wop,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:52,2018-11-01 20:38:52
530,LWUehyTeB,Yankees,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,,False,,,eng,Yankee,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:52,2018-11-01 20:38:52
531,Zmm2kVbjE,wiggas,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wigga,,,True,True,False,False,False,False,False,2877,225,19,2018-11-01 20:38:51,2018-11-01 20:38:51
532,KokCnGPcV,wiggerettes,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wiggerette,,,True,True,False,False,False,False,False,4,0,0,2018-11-01 20:38:51,2018-11-01 20:38:51
533,oxfgmefpr,wiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wigger,,,True,True,False,False,False,False,False,418,46,4,2018-11-01 20:38:51,2018-11-01 20:38:51
534,kgKxXeTfZ,winks,"A Caucasian who emulates, or associates with, Chinese people.",A deliberate blink of one eye,False,,,eng,wink,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:51,2018-11-01 20:38:51
535,Lq7fbfLtc,whiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,whigger,,,True,True,False,False,False,False,False,427,12,1,2018-11-01 20:38:50,2018-11-01 20:38:50
536, jUV4KZZt,white niggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,white nigger,,,True,True,False,False,False,False,False,46,7,0,2018-11-01 20:38:50,2018-11-01 20:38:50
537,jnoQfbmtt,whities,A Caucasian.,,False,,75.0,eng,whitey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:50,2018-11-01 20:38:50
538,xZuno8swv,WICs,Acronym for White Irish Catholic.,,False,,,eng,WIC,,,False,True,True,False,False,False,False,1,0,0,2018-11-01 20:38:50,2018-11-01 20:38:50
539,YhHYLhAMB,wegroes,A white person who is acting like a black person,,True,,,eng,wegro,,,False,True,False,False,False,False,False,12,1,0,2018-11-01 20:38:49,2018-11-01 20:38:49
540,DVoCcFbTq,wetbacks,"A person of Latino descent, particularly a Mexican migrant laborer.",,True,,,eng,wetback,,,False,True,False,False,False,False,False,1721,161,25,2018-11-01 20:38:49,2018-11-01 20:38:49
541,b2EWATroi,wexicans,A person of mixed Caucasian and Mexican parentage.,,True,,,eng,wexican,,,True,True,False,False,False,False,False,81,9,1,2018-11-01 20:38:49,2018-11-01 20:38:49
542,ypaTZ2vrR,whiggas,A white person who is acting like a black person,,True,,63.0,eng,whigga,,,False,True,False,False,False,False,False,334,22,1,2018-11-01 20:38:49,2018-11-01 20:38:49
543,zRaERskxB,WASPs,"Acronym for White Anglo-Saxton Protestant, and often synonymous with rectitude.",An insect,False,,25.0,eng,WASP,,,False,True,True,False,False,False,False,0,0,0,2018-11-01 20:38:48,2018-11-01 20:38:48
544,eJfRMANRk,uncircumcised baboons,A name to call the Luos ethnic group in Kenya,,False,,,eng,uncircumcised baboon,,,False,True,False,False,False,False,False,5,1,0,2018-11-01 20:38:47,2018-11-01 20:38:47
545,xsRQpaGf2,Uncle Toms,A black person perceived as behaving in a subservient manner to white authority figures.,A person's name,True,,100.0,eng,Uncle Tom,,,False,True,False,False,False,False,False,968,96,22,2018-11-01 20:38:47,2018-11-01 20:38:47
546,ZCx7dvPTY,Velcro heads,A black person (referencing stereotypical hair type).,,True,,,eng,Velcro head,,,False,True,False,False,False,False,False,2,0,0,2018-11-01 20:38:47,2018-11-01 20:38:47
547,pcGcvDVdd,wagon burners,A Native American person.,,True,,,eng,wagon burner,,,False,True,False,False,False,False,False,90,2,0,2018-11-01 20:38:47,2018-11-01 20:38:47
548,6vym7Cqym,tynkers,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynker,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46
549,YrmkPjykF,Ubangees,"A black person, particularly a black woman, from the Ubangi people of Africa",,False,,,eng,Ubangee,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46
550,TxcyMB6Ct,Ubangis,"A black person, particularly a black woman, from the Ubangi people of Africa",,False,,,eng,Ubangi,,,False,True,False,False,False,False,False,34,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46
